desc_clean_stem,label
jakarta kompas com direktur utama pt goto gojek tokopedia tbk goto patrick walujo optimistis persero catat ebitda sesuai adjusted positif lini bisnis financial technology fintech goto financial gtf kuartal iv yakin dorong capai ebitda sesuai grup kuartal iii capai rekor tinggi rp miliar kuartal rugi ebitda sesuai bisnis fintech susut signifikan rugi sisa rp miliar periode rugi rp miliar q kembang positif segmen fintech gtf capai ebitda sesuai positif kuartal cepat pedoman patrick terang resmi kutip kamis baca goto catat susut rugi persen rp triliun kuartal iii patrick strategi terap hasil ekosistem nilai unit bisnis model buah hasil iring upaya agresif guna tingkat profitabilitas bisnis kembang pesat guna nikmat manfaat produk bayar layan on demand fungsi salur guna temu manfaat produk pinjam bisnis gtf tumbuh buku tingkat signifikan dorong tumbuh bisnis profitabilitas persero gerak utama profitabilitas bisnis pinjam iring nilai pinjam konsumen salur outstanding loans kali lipat yoy kuartal tiga rp triliun tingkat kredit masalah npl stabil persen pinjam salur asal guna e commerce persen guna layan on demand services gojek sisa guna aplikasi gopay ruang tumbuh signifikan iring penetrasi pinjam relatif rendah persen total guna minta kredit substansial tujuh guna layan gopay gojek aju kredit tulis manajemen goto persero nilai pinjam konsumen salur tingkat kali lipat banding september baca inovasi goto bikin ekosistem kerja nyaman gen zpinjaman melesatpendapatan jasa pinjam lonjak persen yoy q rp miliar kontribusi persen dapat bersih grup kuartal tiga persen total pinjam salur goto dana bank jago hitung dapat bersih jasa pinjam roket persen rp triliun periode rp mliar ekosistem jalan produk guna layan grup dorong tumbuh guna dalam penetrasi pinjam tanggung akuntabel tulis manajemen goto nilai transaksi bruto gtv inti fintech capai rp triliun q persen yoy gtv capai rp triliun tumbuh persen yoy gtv inti bisnis fintech persen rp triliun gtv fintech persen rp triliun baca s p global rilis peringkat esg goto grab sea unggul,MONEY
kompas com perang rusia ukraina pasuk rabu tanda temu menteri negeri china wang yi wakil menteri negeri rusia andrey rudenko beijing isu tentara korea utara rusia bahas prediksi nasib ukraina depan rangkum perang ukraina rusia kini baca buntut kabar korut kirim tentara rusia ukraina korsel sepakat dalam kerja keamananmenteri negeri china wang yi rabu jamu wakil menteri negeri rusia andrey rudenko beijing terang menteri negeri china wang rudenko hubung negara jalan kuat hubung pengaruh ubah situasi internasional arah pengaruh tiga baca lengkap presiden korea selatan yoon suk yeol perdana menteri kanada justin trudeau khawatir libat korea utara perang rusia ukraina bicara telepon ada rabu pimpin bahas dampak timbul kerah pasu korea utara medan perang kantor presiden yoon trudeau tekan libat buruk konflik pengaruh stabilitas aman kawasan eropa indo pasifik baca lengkap baca nato as konfirmasi tentara korea utara kerah kursk rusiaserangan drone rusia malam kota ukraina kyiv luka sembilan orang gadis usia wenang rabu perintah kota kyiv layan darurat bakar gedung sembilan lantai distrik pusat rusa taman kanak kanak sembilan orang luka luka bakar gedung administrasi delapan lantai wali kota kyiv vital klitschko media sosial kutip kantor berita afp baca lengkap,GLOBAL
jakarta kompas com jabat pj gubernur jakarta teguh setyabudi tinjau uji coba program makan gizi gratis mbg sekolah tengah negeri sman pulau pramuka pulau ribu kamis teguh damping plt kepala dinas didik provinsi jakarta purwosusilo kepala dinas tahan pangan laut tani provinsi jakarta suharini unjung kelas sekolah siswa kelas sambut kunjung pimpin jakarta pantun ucap selamat baca pemprov jakarta uji coba makan gizi gratis pulau seribumendengar sambut teguh senyum siswa buka kotak makan risi nasi goreng telur ikan jeruk lalap timun program makan gizi gratis presiden prabowo wakil presiden gibran makan ya nasi goreng teguh tinjau kelas coba info saran uji coba teguh uji coba makan gizi gratis teguh bicara anak anak langsung santap makan proses ajar lanjut ya makan biar semangat teguh jalan tinggal kelas sman sekolah uji coba makan gizi gratis wilayah administrasi jakarta berita perintah provinsi pemprov jakarta salur paket makan kali uji coba program makan gizi gratis sekolah sekolah jakarta pemprov luas kelompok sasar sekolah negeri swasta uji coba makan gizi gratis baca pj gubernur jakarta pasti anggar makan gizi gratis tinggal tunggu arah pusat negeri swasta timbang target grup kelompok sasar teguh temu sekolah dasar islam padu sdit al ihsan bagus jakarta selatan kamis rincian sekolah jakarta uji coba makan gizi gratis sdn cideng jakarta pusat paket sdn rawa badak utara jakarta utara paket,NEWS
halmahera barat kompas com gunung kabupaten halmahera barat malu utara kamis wit erupsi keluar kolom abu warna kelabu kolom abu amat meter puncak meter muka laut kolom abu amat warna kelabu intensitas tebal condong arah tenggara tugas pos amat gunung kabupaten halmahera barat richard chaniago terang kamis baca gunung halmahera barat alami erupsigunung meter muka laut mdpl erupsi rekam seismogram amplitudo maksimum mm durasi menit detik pos amat gunung desa gam ici camat richard gunung status level iii siaga baca gunung letus malam kolom abu meterdia imbau masyarakat gunung unjung wisatawan aktivitas radius kilometer luas sektoral jarak kilometer arah buka kawah utara kawah aktif gunung hujan abu masyarakat aktivitas rumah saran lindung hidung mulut mata jaga kondusifitas suasana masyarakat sebar narasi bohong hoaks pancing isu isu sumber ikut arah perintah daerah,REGIONAL
jakarta kompas com aldi satya mahendra hasil cetak sejarah balap indonesia raih gelar juara dunia world supersport worldssp prestasi lepas dukung usaha lumas eneos eneos sponsor utama tim yamaha racing indonesia tim dukung aldi juara tingkat nasional internasional yamaha racing indonesia eneos bangga toreh prestasi aldi baca aldi satya mahendra balap indonesia juara dunia worldssp eneos pabrikan lumas percaya bangga bahagia prestasi capai aldi ajang balap motor internasional prestasi raih balap indonesia imran razy general manager pt nippon oil indonesia produsen pasar produk eneos terang resmi dok yamaha aldi satya mahendra juara dunia worldssp dukung penuh eneoseneos sponsor yamaha racing indonesia ajang internasional asia road racing championship arrc world supersport wssp yamaha cup race ycr usaha lumas nomor jepang percaya tim balap monster energy yamaha motogp eneos milik tanggung maju capai prestasi balap indonesia lingkup internasional imran baca eneos nxp ramai pasar oli motor indonesiaaldi juara dunia asia semangat gembira hasil oleh juang syukur bangga juara wssp juara dunia indonesia dok yamaha aldi satya mahendra juara dunia worldssp dukung penuh eneos mimpi nyata laku dukung tim yamaha racing indonesia sponsor setia eneos dukung percaya semangat juang balap aldi lumas eneos performa motor jaga mesin kondisi baik performa maksimal lintas komitmen baik orang dukung bangga aldi dok yamaha aldi satya mahendra juara dunia worldssp dukung penuh eneosselain tim balap aldi percaya lumas eneos kendara pribadi turut eneos lindung maksimal mesin tingkat efisiensi bahan bakar aktivitas hari rasa beda signifikan performa kendara eneos jaga mesin bersih optimal khawatir awat kualitas jamin eneos pilih jaga kendara kondisi baik aldi,OTOMOTIF
kompas com usaha swasta kontribusi program tahan pangan nasional tosec world jalin kolaborasi pt modal nasional madani pnm badan usaha milik negara bumn program klasterisasi jagung nasabah mekaar pnm kerja wujud komitmen tosec world dukung capai indonesia emas mandiri pangan sumber daya manusia sdm unggul kualitas sehat milik daya saing internasional sosialisasi gelar desa parunggalih camat bodeh kabupaten malang jawa tani nasabah mekaar keluh hasil panen jagung batas akses produk tani butuh hasil panen tanam jagung oleh kisar ton jagung pipil hektar lahan hutan standar hasil panen tanam tanam jagung lahan hutan luas hektare hasil ton jagung pipil hasil panen sebab harga produksi roket tani rugi berangkat keluh tim agroman petrokimia gresik kece kondisi tanah hasil lahan tani lahan lahan basa lahan netral kapur tani dolomite tim sosialisasi jelas tepat guna pupuk obat obat tani dukung capai panen sesuai standar klasterisasi jagung program tahan pangan nasional hadir klasterisasi produk tani nasabah pnm indonesia program harap dorong daya usaha mikro tengah umkm produk produk unggul layak saing pasar internasional program dorong rakyat indonesia sejahtera kontribusi wujud indonesia emas,ADVERTORIAL
malang kompas com celaka libat kendara operasional tv one truk ekspedisi tol malang batang jawa tepat km a kamis orang tumpang mobil tv one tinggal dunia alami luka luka konfirmasi kapolres malang akbp eko sunaryo benar peristiwa baca daftar korban tinggal celaka rombong jurnalis tv one pemalangjenazah korban tinggal imbuh rs islam al ikhas jalan kolonel sugiono camat malang jawa mobil libat celaka avanza truk paket box rosalia ekspres korban tinggal dunia sadar kamis celaka tangan polisi lintas polres malang cek lapang ya laku lidi lapang tugas selesai informasi baca moge masuk jalan tol simak jelas baca tabrak mentok anak bantul tinggal dunia,REGIONAL
tangerang kompas com kawasaki motor indonesia kmi rencana produksi w l injeksi lokal michael c tanadhi head sales promotion dept pt kmi terima w l injeksi indonesia positif dasar produksi motor sport retro lokal bagus sisi harga fitur mumpuni volume jatah ikm india unit sold out michael ice bsd tangerang rabu baca gresini racing incar podium motogp malaysia rencana langsung jadi ckd proses w l injeksi utuh cbu india w injeksi kali muncul india w l jual indonesia status impor doc kawasaki kawasaki w l injeksibicara kawasaki w l injeksi sepeda motor milik tampil retro klasik ciri khas lampu bulat dimensi w l injeksi mm lebar mm mm panjang mm lebar mm mm motor bekal mesin cc air cooled stroke single cylinder hasil tenaga ps tk rpm torsi nm rpm w l injeksi bekal transmisi manual cepat baca motor sport tvs apache rtr luncur imos teknologi motor sistem anti lock brake system abs sensor roda monitor cepat roda konstan bicara harga w l injeksi banderol rp otr jakarta,OTOMOTIF
kompas com hyundai gempar dunia otomotif indonesia luncur ioniq n ajang gaikindo indonesia international auto show giias mobil listrik tenaga tawar padu unik performa maksimal nyaman kendara hari konsep everyday sportscar revolusioner ioniq n bekal mesin output daya maksimum kw tara ps torsi puncak nm fitur n grin boost aktif kombinasi mobil akselerasi km jam detik mampu jadi ioniq n sport utility vehicle suv tenaga impresif kelas sesuai tagline nya mobil lesat km jam jadi ioniq n pilih tarik suka roda performa chief operating officer hyundai motors indonesia fransiscus soerjopranoto ioniq n aku hebat dunia bukti raih harga world performance car ajang world car awards raih kuat posisi ioniq n pimpin pasar kategori mobil listrik performa everyday sports car sesungguhnyaioniq n rancang pilar dna hyundai n corner rascal everyday sports car race track capability tiga pilar alam kendara dinamis lupa jalan raya lintas balap everyday sports car ioniq n tawar nyaman kendara hari korban sensasi fun to drive konsep wujud desain interior ioniq n dominasi warna hitam sporty ruang kabin mobil tawar nyaman optimal kursi bucket ergonomis dukung manuver agresif nyaman jalan ioniq n unik mampu alih mobil listrik tenang mobil sport gairah fitur n e shift simulasi sensasi transmisi kopling ganda cepat n active sound hadir suara mobil sport getar adrenalin keras suara kabin fitur aktif nonaktif sesuai fleksibilitas pilih alam kendara sesuai suasana hati situasi nyaman ioniq n lanjut hadir fitur vehicle to load vl inovatif letak strategis kursi baris vl guna daya listrik mobil isi perangkat elektronik mobil laju fitur praktis jalan mobile jamin laptop ponsel perangkat elektronik isi daya lengkap praktis vl hyundai integrasi sistem bluelink canggih ioniq n bluelink tawar fitur aman rancang lindung guna salah satu fitur auto collision notification acn celaka airbag mobil kembang sinyal otomatis kirim call center hyundai bluelink operator hubung kemudi sistem audio kendara kondisi hubung layan darurat guna manfaat tombol sos konsol bantu cepat situasi darurat call center kirim bantu lokasi guna aspek aman bluelink lengkap fitur road side assistance rsa bantu guna kendara alami kendala jalan kemudi tekan tombol bluelink konsol bantu call center arah guna hyundai service center dekat kirim layan derek lokasi fitur tenang tambah guna situasi duga jalan fitur aman bluelink batas darurat jalan cakup lindung curi kendara stolen vehicle notification milik kendara terima notifikasi aplikasi upaya buka paksa mobil bluelink sedia stolen vehicle tracking stolen vehicle immobilization bantu lacak mati mesin mobil curi tingkat peluang pulih kendara cepat bluelink tambah nyaman fitur remote control akses smartphone guna guna nyala mati mesin atur suhu kabin jarak remote engine startstop remote climate control fitur find my car guna temu mobil mudah lupa lokasi parkir fitur fitur komitmen hyundai alam kendara aman praktis guna ioniq n padu sempurna nyaman praktis aman performa ioniq n bukti konsep mobil sport guna hari impi mobil penuh butuh hari fitur canggih sensasi kendara debar dukung teknologi canggihioniq n hadir rangkai teknologi canggih madu performa nyaman kendara salah satu n grin boost fitur dorong tambah ideal detik situasi butuh akselerasi cepat lengkap fitur hadir n launch control bantu kemudi start mulus cepat posisi diam fitur sempurna situasi balap uji akselerasi gemar teknik drift ioniq n sedia n drift optimizer bantu kemudi manuver drift aman kendali fitur torque kick drift cipta efek injak kopling sensasi autentik mobil sport konvensional bawa ioniq n lintas balap sedia mode n race pilih endurance balap jarak sprint balap jarak pendek tingkat responsivitas kendara hari n pedal mobil sigap gas tikung teknologi n torque distribution kemudi atur bagi tenaga roda kontrol optimal sesuai kondisi jalan fitur harmonis cipta alam kendara madu tangkas mobil listrik sensasi mobil sport konvensional jadi ioniq n everyday sports car istimewa bukti rangkai uji ketat jenis lintas hmg driving experience center taean korea selatan ioniq n bukti mampu kondisi kendara lintas tawar delapan jenis trek cakup braking course dry handling circuit wet handling circuit high speed oval lintas high speed oval n launch control n grin boost bukti mampu akselerasi maksimal lintas zig zag n drift optimizer torque kick drift kemudi manuver drift presisi performa ioniq n tawar nyaman kendara n light bucket seats dukung posisi kendara optimal lengkap fitur dingin panas ioniq n dukung sistem suspensi elektronik kemudi sesuai tingkat kaku sesuai mode kendara pilih n sport normal teknologi baterai sistem gerak canggihioniq n platform electric global module platform e gmp integrasi teknologi motorsport hyundai n brand mobil lengkap baterai kapasitas kwh dual motor listrik operasi rpm sistem gerak mobil all wheel drive awd traksi optimal kondisi jalan teknologi v baterai mobil isi daya ultrafast mampu isi capai kw hubung charger kw stasiun isi daya dc ultrafast harga ketersediaandi indonesia ioniq n tawar harga rp miliar golong niche hyundai optimistis ioniq n sambut positif gemar mobil sport performa penasaran ioniq n sila unjung situs resmi hyundai dealer hyundai dekat tim jual hyundai bantu detail produk promo sedia ioniq n hyundai tawar mobil gaya hidup gabung gembira kendara performa tanggung lingkung paket everyday sports car tarik,ADVERTORIAL
jakarta kompas com komisi berantas korupsi kpk periksa mantan direktur utama pt asdp indonesia ferry ira puspadewi ip kait duga korupsi kerja akuisisi pt jembatan nusantara rabu kemarin juru bicara kpk tessa mahardhika sugiarto sidik gali informasi tekait aset aset milik ira periksa kemarin saksi ip hadir terang kait asset milik tessa terang tulis kamis ira kpk periksa adhian budi lead inspector pt bki saksi dalam kait hasil kece teknis kapal tessa baca kpk menang gugat praperadilan perkara asdpdiketahui kpk tetap orang sangka duga korupsi lingkung pt asdp indonesia ferry persero inisial empat orang sangka ip myh hmac a tessa agustus tessa identitas lengkap sangka duga tindak pidana kpk taksir rugi negara korupsi capai rp triliun baca pt asdp kpk ingat milik pt jembatan nusantara kooperatifdalam kpk sita bidang tanah bangun milik bos pt jembatan nusantara group nama adjie iya lokasi daerah pondok indah jakarta selatan lokasi bogor lokasi menteng jakarta pusat lokasi darmo surabaya lokasi graha familly surabaya lokasi tessa,NEWS
kompas com daftar terima bintara pk tni ad gelombang ii ta buka daftar buka november link https ad rekrutmen tni mil idbintara ad ajendem ajenrem dekat seleksi calon bintara tni ikut lulus sma smk lulus smk jurus daftar baca beasiswa sd s anak pns uang sakunyakemudian lulus paket c daftar jalur milik nilai rapor bahasa indonesia bahasa inggris matematika sesuai tentu tni ad syarat penuh daftar bintara tni ad gelombang warga negara indonesia iman bertaqwa tuhan maha esa anut salah agama aku indonesia hayat percaya setia negara satu republik indonesia dasar pancasila undang undang dasar negara republik indonesia umur rendah buka didik tanggal desember milik catat kriminalitas keluar tulis polisi republik indonesia sehat jasmani rohani kacamata hilang hak prajurit dasar putus adil oleh kuat hukum syarat pria anggotamantan prajurit tnipolri pns tni ijazah minimal smamasmk negeri swasta akreditasi sesuai butuh laku paket c syarat nilai,EDUKASI
kompas com daerah lapor wabah gondong mumps jangkit masyarakat anak anak kabupaten banyuwangi jawa timur catat gondong september oktober camat kota diri jawa timur gondong lapor mei oktober banten total siswa smp negeri tangerang selatan jangkit cacar air gondong paksa sekolah terap lockdown ajar rumah oktober gondong sakit bengkak kelenjar parotis sebab infeksi virus paramyxovirus sakit cegah program vaksinasi mmr measles mumps rubella anak anak lantas gondong muncul program vaksin mmr baca musim kenal ciri ciri gondong anak orang dewasaepidemiolog griffith university australia dicky budiman sebab wabah gondong sebar vaksin mmr turun cakup vaksinasi populasi angka kebal kelompok herd immunity persen mumps turun persen tingkat wabah individu rentan hubung kompas com selasa dicky terima vaksinasi mmr yakin pribadi percaya hoaks kondisi sehat akses rentan infeksi gondong orang orang titik tular virus infeksi sebar sebab wabah daerah sebab efektivitas vaksin mmr sentuh angka persen cegah infeksi dicky sebut vaksin mmr efektif tingkat efektivitas persen dosis celah sebar virus populasi vaksinasi infeksi vaksin efektivitas vaksin mmr kurang iring waning immunity vaksin mmr suntik bayi kebal tubuh virus turun baca infeksi sakit gondong isolasi mandiri shutterstockscio ilustrasi gondong parotitis sebab tiga mutasi virus organisme sebab sakit gondong mudah tular gondong teliti mutasi virus tular mudah sebab wabah program vaksinasi jalan dicky sisi dicky timbul wabah gondong picu padat populasi lingkung lingkung sekolah kerap ideal sebar sakit kontak fisik anak anak cenderung rekat kendati dicky vaksin mmr efektif cegah tular komplikasi gondong cegah wabah sebar upaya tingkat cakup vaksinasi perintah gencar monitoring and surveillance bentuk pantau infeksi rutin bantu deteksi kelola wabah luas dicky sakit gondong endemi sakit jangkit daerah cakup vaksin rendah sakit potensi epidemi pandemi vaksin efektif lockdown lokal ajar rumah langkah cegah putus mata rantai tular dicky anak anak rentan ya tumbuh kembang sistem imunitas lockdown minggu gitu pada sambung baca gejala sakit gondong waspada komplikasi kondisi,TREN
